"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Y0.14",13.17663277,14.59489853,15.00563286,15.3436899536,16.27016317,18.54341202
"pop_Y25.64",50.9181778,54.46507841,55.12962792,55.1087556952,56.52674188,58.55178843
"pop_Y65.74",7.41376801,8.923404964,9.782780436,9.61637489736,10.55920621,11.14661887
"low_work",6.1,7.6,9.7,10.328,12.1,17.1
"rooms_pp",1,1.2,1.6,1.56,1.9,2.2
"ARPR_socexcl",14.8,19.2,24.7,25.392,29.2,40.3
"emp_Y15.24_ED0.2",3.880266075,11.11111111,18.39285714,20.09147335384,27.30923695,40.35532995
"emp_Y15.24_ED3.4",33.18193962,54.26331264,64.16666667,63.6148848804,72.94429708,86.6962306
"emp_Y25.64_ED3.4",23.0707083,38.76069815,51.92168238,48.7367991228,58.20918644,72.47976614
"emp_Y15.24_ED5.8",4.736440031,8.75639512,14.90974729,16.16576841984,21.12879884,40.74074074
"emp_Y25.64_ED5.8",19.82778653,27.44613768,34.00737379,34.6783935476,42.73842789,50.58517555
"emp_TF",39.14117372,45.16376825,49.06012781,48.1463291552,51.19922921,56.99304685
"emp_TP",1.402603132,4.158236484,7.459839214,8.20541332668,10.51092082,17.80639077
"emp_Y25.64",56.01974965,68.00791967,70.20117791,70.4314787192,74.71893517,83.09527877
"emp_Y25.64_NaceA",1.064879867,2.757477257,3.935784568,5.53252615636,7.089909134,24.33451241
"emp_Y15.24_NaceB.E",5.785123967,11.45912911,17.57182212,17.70465743384,21.31702439,38.81842457
"emp_Y15.24_NaceF",3.610547667,6.208425721,7.438016529,7.1548416782,8.288770053,12.04250295
"emp_Y25.64_NaceF",4.331263685,6.540384238,6.771309415,7.03898622812,7.668867445,9.735315446
"emp_Y25.64_NaceG.I",14.99783268,20.87424612,23.58644246,23.6351657248,27.28119181,30.2558565
"emp_Y25.64_NaceJ",1.768609124,2.435478008,2.874873354,2.997053689,3.466317855,4.467774587
"emp_Y25.64_NaceK",1.391650099,2.185845913,2.491328345,3.20100744068,3.385170048,13.22063286
"emp_Y25.64_NaceL",0.116980113,0.478176417,0.654022237,0.8082434674,1.023959124,2.317629179
"emp_Y15.24_NaceM_N",3.32594235,5.892857143,7.509413663,7.42183180192,9.110586383,12.59259259
"emp_Y25.64_NaceM_N",4.619039013,7.000169291,8.038633432,8.55741334216,10.37305759,13.03910998
"emp_Y15.24_NaceO.Q",3.1090122,9.445927904,13.74819103,14.33031011312,18.40897501,33.05785124
"emp_Y25.64_NaceO.Q",13.58472541,22.11860354,23.5699931,24.887302934,27.53433617,34.40746912
"emp_Y15.24_NaceR.U",3.463203463,4.660856385,5.816135084,6.48937362416,8.344292654,10.77158136
"emp_Y25.64_NaceR.U",2.68389662,3.806802068,4.589786316,5.1186193198,5.51292312,11.40008669
"GDP",12800,19900,22600,25784,29900,73000
"training",1.5,4,8,9.58,12.1,29.2
