"","Estimate","Uncond. variance","Nb models","Importance","+/- (alpha=0.05)"
"emp_Y15_24_ED3_4",-2.77787278319724e-05,9.71697682129021e-06,2,0.0200151592391764,0.00650178320224945
"emp_Y15_24_NaceM_N",-0.00114236912356182,0.000305790085078925,3,0.020276838938702,0.0364735974528869
"emp_Y25_64_NaceG_I",-0.002818403276925,0.000177305643971768,2,0.0208273519278925,0.0277733444802928
"pop_Y25_64",0.00580082048202346,0.000874046002546879,2,0.0209003905554941,0.0616643341270595
"rooms_pp",-0.0174108375347463,0.0250535258554083,3,0.0222009630840285,0.33014241798285
"emp_Y15_24_NaceR_U",-0.00700543903795403,0.000924028827698765,4,0.0243065952551065,0.0634029785946727
"pop_Y65_74",0.00343560194160507,0.00200691334966019,4,0.0244609522994739,0.0934396518589466
"low_work",-0.000672449007552212,0.000275876275321271,7,0.0244797351540783,0.0346436847262174
"emp_Y25_64_NaceF",0.0129541305161289,0.0029854101014133,3,0.0245590842942706,0.113964319008105
"emp_Y15_24_ED0_2",0.00164078155797171,4.23497728720076e-05,3,0.0262790857598046,0.0135735186344312
"ARPR_socexcl",-0.0043143416680649,0.000161831096611001,5,0.0275525227078614,0.0265337045657752
"emp_Y25_64_ED5_8",9.23832267881593e-05,5.55027807451504e-05,3,0.0279807419118722,0.0155390431215412
"emp_Y15_24_ED5_8",-0.0022522225301723,8.1009966726987e-05,4,0.0287434260476308,0.0187731057967008
"emp_TF",0.000277941659501427,0.000195142351673195,7,0.0294186895043546,0.0291368546812603
"emp_Y25_64_NaceJ",0.0583600326580444,0.0227283931905334,4,0.0301886876882537,0.31444976006347
"emp_Y25_64_ED3_4",0.0040372190785175,0.000103725416417865,2,0.0305976915703237,0.021242689162611
"emp_Y25_64_NaceR_U",0.0368637952965655,0.00890759904991125,18,0.0323500004840635,0.196855353916883
"training",0.0017237242530023,0.000150427180935918,3,0.0329758804383651,0.0255817387302411
"emp_Y15_24_NaceF",0.0258826348502626,0.00407291333931016,17,0.0331230464504506,0.133112697842762
"emp_Y15_24_NaceO_Q",0.0133521063805175,0.00101910528644619,17,0.0377196227799453,0.0665850036612935
"emp_TP",0.0142485437683522,0.00109951829875419,2,0.0390248324583327,0.069162093633361
"pop_Y0_14",-0.0404188580328312,0.012431666550731,4,0.0417487215056202,0.232558157037577
"emp_Y25_64_NaceO_Q",-0.0208209260724497,0.00269089102672481,9,0.0547764491345833,0.108196934430038
"emp_Y25_64",0.0214218013789599,0.00226810988811902,13,0.0608276336136426,0.0993342339055335
"emp_Y25_64_NaceM_N",-0.582446404952055,1.12430141512541,38,0.17039778085893,2.21160864756643
"emp_Y25_64_NaceA",-0.186893907329567,0.111128091768758,40,0.181386539445554,0.695310566329568
"GDP",0.000178413262756666,7.78562122453048e-08,43,0.267798383367123,0.000581987338418174
"emp_Y25_64_NaceL",8.16817191074344,18.5406481787741,42,0.842505453059106,8.98109638434406
"emp_Y25_64_NaceK",3.66717000249508,2.65373734885111,51,0.842927012536512,3.39778479948876
"emp_Y15_24_NaceB_E",-0.465196356970743,0.0996813431462318,85,0.931023068801337,0.658527387201876
"(Intercept)",7.60646267004634,414.22895318058,100,1,42.4509219210023
